series,series_label,blocks_per_macro_cell,outer_replicates,decision_rate,wilson_lower,wilson_upper,decision_rate_percent,wilson_95_percent,source_json_path
positive_15,+15pp paired H-up/L-down,96,10000,0.0096,0.00786829801467,0.0117083275873,0.96%,"[0.79%, 1.17%]",sample_size_frontiers.positive_15[0]
positive_15,+15pp paired H-up/L-down,120,10000,0.0629,0.0583073399692,0.0678283514064,6.29%,"[5.83%, 6.78%]",sample_size_frontiers.positive_15[1]
positive_15,+15pp paired H-up/L-down,144,10000,0.166,0.158835881364,0.173420629547,16.60%,"[15.88%, 17.34%]",sample_size_frontiers.positive_15[2]
positive_15,+15pp paired H-up/L-down,168,10000,0.3054,0.296449013872,0.314500438294,30.54%,"[29.64%, 31.45%]",sample_size_frontiers.positive_15[3]
positive_15,+15pp paired H-up/L-down,192,10000,0.446,0.436280084835,0.455761386989,44.60%,"[43.63%, 45.58%]",sample_size_frontiers.positive_15[4]
positive_15,+15pp paired H-up/L-down,288,10000,0.838,0.830648925519,0.845091491583,83.80%,"[83.06%, 84.51%]",sample_size_frontiers.positive_15[5]
positive_15,+15pp paired H-up/L-down,384,10000,0.9627,0.958804736711,0.966239911197,96.27%,"[95.88%, 96.62%]",sample_size_frontiers.positive_15[6]
positive_1055,+10.55pp paired H-up/L-down,384,10000,0.1614,0.154319536392,0.168740507304,16.14%,"[15.43%, 16.87%]",sample_size_frontiers.positive_1055[0]
positive_1055,+10.55pp paired H-up/L-down,576,10000,0.4693,0.459532329817,0.479091247683,46.93%,"[45.95%, 47.91%]",sample_size_frontiers.positive_1055[1]
positive_1055,+10.55pp paired H-up/L-down,768,10000,0.7319,0.723130109355,0.740491792201,73.19%,"[72.31%, 74.05%]",sample_size_frontiers.positive_1055[2]
positive_1055,+10.55pp paired H-up/L-down,1152,10000,0.9481,0.94357766809,0.95227819257,94.81%,"[94.36%, 95.23%]",sample_size_frontiers.positive_1055[3]
equivalence_null,Observed-vector equivalence,96,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[0]
equivalence_null,Observed-vector equivalence,120,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[1]
equivalence_null,Observed-vector equivalence,144,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[2]
equivalence_null,Observed-vector equivalence,168,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[3]
equivalence_null,Observed-vector equivalence,192,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[4]
equivalence_null,Observed-vector equivalence,288,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[5]
equivalence_null,Observed-vector equivalence,384,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[6]
equivalence_null,Observed-vector equivalence,576,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[7]
equivalence_null,Observed-vector equivalence,768,10000,0,0,0.000383998370677,0.00%,"[0.00%, 0.04%]",sample_size_frontiers.equivalence_null[8]
equivalence_null,Observed-vector equivalence,1152,10000,0.0055,0.00422823325627,0.00715154113233,0.55%,"[0.42%, 0.72%]",sample_size_frontiers.equivalence_null[9]
equivalence_null,Observed-vector equivalence,1536,10000,0.0627,0.0581144724932,0.0676213724818,6.27%,"[5.81%, 6.76%]",sample_size_frontiers.equivalence_null[10]
equivalence_null,Observed-vector equivalence,1920,10000,0.1903,0.182725883195,0.198111965396,19.03%,"[18.27%, 19.81%]",sample_size_frontiers.equivalence_null[11]
equivalence_null,Observed-vector equivalence,2304,10000,0.3576,0.348262346412,0.367047016324,35.76%,"[34.83%, 36.70%]",sample_size_frontiers.equivalence_null[12]
equivalence_null,Observed-vector equivalence,3072,10000,0.6684,0.659109602539,0.67756106681,66.84%,"[65.91%, 67.76%]",sample_size_frontiers.equivalence_null[13]
