checkpoint,dt,block,family,classification,ordinary_nrmse_percent,neural_effect_nrmse_percent,block_effect_nrmse_percent,decoder_effect_nrmse_percent,neural_effect_cosine
008,.02,Mi1,shunt,G1,0.008710542897460982,0.1879655523225665,0.1683984068222344,0.17076042713597417,1.0
008,.02,Mi1,timescale,G3,0.053388235392048955,1.4840037561953068,1.7525997012853622,2.331274002790451,1.0
008,.02,T4a,shunt,G1,0.0007347862720052944,0.43637012131512165,0.08592187077738345,0.07692637154832482,1.0
008,.02,T4a,timescale,G1,0.009698401117930189,0.6624455098062754,0.47632595524191856,0.6201408337801695,1.0
008,.02,T4a,two_state,G1,0.010452482820255682,0.7136126048862934,0.5438861902803183,0.6791825871914625,1.0
008,.02,T5a,shunt,G1,0.0007476830887753749,0.3790497547015548,0.03233341849409044,0.12005079770460725,1.0
008,.02,T5a,timescale,G1,0.003223219027859159,0.7715423125773668,0.6504351738840342,0.7692328654229641,1.0
008,.01,Mi1,shunt,G1,0.008530596096534282,0.22348035126924515,0.1824946259148419,0.3340215189382434,1.0
008,.01,Mi1,timescale,G3,0.041549408342689276,0.9318898431956768,0.8372947573661804,2.7539540082216263,1.0
008,.01,T4a,shunt,G1,0.0007036767328827409,0.3920635674148798,0.07436234154738486,0.07231530034914613,1.0
008,.01,T4a,timescale,G1,0.005090099875815213,0.5801775958389044,0.3944066818803549,0.43046725913882256,1.0
008,.01,T4a,two_state,G1,0.008170964429154992,0.5992698483169079,0.40766564197838306,0.5110705271363258,1.0
008,.01,T5a,shunt,G1,0.0007334458132390864,0.3166412003338337,0.02585914626251906,0.10870759142562747,1.0
008,.01,T5a,timescale,G1,0.001995482853089925,0.6963216233998537,0.5951447412371635,0.7080432958900928,1.0
009,.02,Mi1,shunt,G1,0.004205434743198566,0.31215406488627195,0.23726001381874084,0.33132447861135006,1.0
009,.02,Mi1,timescale,G3,0.027509761275723577,1.3263042084872723,1.1851687915623188,1.8967386335134506,1.0
009,.02,Mi1,two_state,G1,0.01922145311255008,0.7680872920900583,0.7014409638941288,0.638545723631978,1.0
009,.02,T4a,shunt,G1,0.0005023386620450765,0.8095322176814079,0.15487223863601685,0.19274704391136765,1.0
009,.02,T4a,timescale,G3,0.006887436757097021,0.9639386087656021,0.49563003703951836,1.350325532257557,1.0
009,.02,T4a,two_state,G3,0.007991500751813874,1.0086328722536564,0.5697761662304401,1.053488627076149,1.0
009,.02,T5a,shunt,G1,0.0008149959285219666,0.7270307745784521,0.07937229238450527,0.4240486305207014,1.0
009,.02,T5a,timescale,G3,0.004191931657260284,1.2156990356743336,0.9653301909565926,1.9563252106308937,1.0
009,.01,Mi1,shunt,G1,0.004122820246266201,0.4735455382615328,0.2070434158667922,0.38042322266846895,1.0
009,.01,Mi1,timescale,G3,0.01271874934900552,1.0200580582022667,0.8087949827313423,2.025257609784603,1.0
009,.01,Mi1,two_state,G1,0.014297969755716622,0.632374407723546,0.42066797614097595,0.9573820047080517,1.0
009,.01,T4a,shunt,G1,0.0004661857474275166,0.81828897818923,0.14128651237115264,0.1362703158520162,1.0
009,.01,T4a,timescale,G1,0.003551097688614391,0.8504643104970455,0.33042829018086195,0.6516934372484684,1.0
009,.01,T4a,two_state,G1,0.005561394209507853,0.9486651979386806,0.43255588971078396,0.6331891752779484,1.0
009,.01,T5a,shunt,G1,0.0008079632607405074,0.8589770644903183,0.06680329679511487,0.396964605897665,1.0
009,.01,T5a,timescale,G3,0.001719751162454486,1.1517482809722424,0.7189583964645863,1.2095251120626926,1.0
